header,cluster_trace,postal_code,ageb,estado,municipio,colonia,metodo,lat,lon
CEC-22-8581|MEX|ST_1|Cluster_NA|2022/08/10,,.,0901700010579,Ciudad de Mexico,Xochimilco,.,Distribucion_Municipio,,
CEC-22-7869|MEX|ST_1|Cluster_NA|2022/06/07,,.,090040001041A,Ciudad de Mexico,Benito Juarez_CDMX,Moderna,Distribucion_Colonia,19.3953179,-99.1344949
CEC-19-0633|MEX|ST_1|Cluster_NA|2019/10/23,,.,0900900240191,Ciudad de Mexico,Iztacalco,.,Distribucion_Municipio,,
CEC-19-0212|MEX|ST_1|Cluster_NA|2019/09/06,,.,0900500011398,Ciudad de Mexico,Coyoacan,.,Distribucion_Municipio,,
CEC-19-0262|MEX|ST_1|Cluster_NA|2019/09/11,,.,0901000010277,Ciudad de Mexico,Iztapalapa,.,Distribucion_Municipio,,
CEC-19-0263|MEX|ST_1|Cluster_NA|2019/09/11,,.,0900400200246,Ciudad de Mexico,Benito Juarez_CDMX,.,Distribucion_Municipio,,
CEC-22-8176|MEX|ST_1|Cluster_NA|2022/07/04,,.,0900500011805,Ciudad de Mexico,Coyoacan,Culhuacan CTM Seccion X,Distribucion_Colonia,19.3185851,-99.1047601
CEC-19-0191|MEX|ST_1|Cluster_NA|2019/09/04,,.,0900900330488,Ciudad de Mexico,Iztacalco,.,Distribucion_Municipio,,
CEC-19-0588|MEX|ST_1|Cluster_NA|2019/10/16,,.,0901000010347,Ciudad de Mexico,Iztapalapa,.,Distribucion_Municipio,,
CEC-21-3026|MEX|ST_1|Cluster_NA|2021/03/22,,02125,0900300011514,Ciudad de Mexico,Azcapotzalco,San Martin Xochinahuac,Distribucion_Colonia,19.4988067,-99.1921922
CEC-20-1539|MEX|ST_1|Cluster_NA|2020/09/28,,.,0901000011519,Ciudad de Mexico,Iztapalapa,Santiago Acahualtepec,Distribucion_Colonia,19.3485501,-99.0136191
CEC-19-0042|MEX|ST_1|Cluster_NA|2019/07/24,,.,0901000010440,Ciudad de Mexico,Iztapalapa,.,Distribucion_Municipio,,
CEC-19-0649|MEX|ST_1|Cluster_NA|2019/10/23,,.,090080001025A,Ciudad de Mexico,Gustavo A. Madero,.,Distribucion_Municipio,,
